Date,AMZN,MSFT,TSLA,GOOG,AAPL,FB,JNJ,V,PG
2019-06-27,1904.280029296875,132.519287109375,222.83999633789062,1076.010009765625,197.02908325195312,189.5,136.85536193847656,169.90872192382812,106.35638427734376
2019-06-28,1893.6300048828125,132.33161926269528,223.4600067138672,1080.9100341796877,195.2337646484375,193.0,135.48379516601562,172.21083068847656,106.23043060302734
2019-07-01,1922.18994140625,134.03070068359378,227.1699981689453,1097.949951171875,198.8145294189453,193.0,135.56161499023438,172.5978240966797,107.0442352294922
2019-07-02,1934.31005859375,134.91975402832028,224.5500030517578,1111.25,199.97848510742188,195.0,136.21333312988278,173.92747497558594,108.00335693359376
2019-07-03,1939.0,135.7890625,234.8999938964844,1121.5799560546877,201.63568115234372,197.1999969482422,138.26583862304688,175.5052032470703,110.52227783203124
2019-07-05,1942.9100341796875,135.39393615722656,233.1000061035156,1131.5899658203125,201.45811462402344,196.3999938964844,136.73863220214844,175.29684448242188,109.6212921142578
2019-07-08,1952.3199462890625,135.29515075683594,230.33999633789062,1116.3499755859377,197.3052673339844,195.75999450683597,137.12773132324222,174.8304443359375,110.49321746826172
2019-07-09,1988.300048828125,134.80123901367188,230.05999755859372,1124.8299560546877,198.50872802734372,199.2100067138672,137.55575561523438,176.35858154296875,109.38876342773438
2019-07-10,2017.4100341796875,136.17434692382812,238.9199981689453,1140.47998046875,200.4717102050781,202.72999572753903,137.36119079589844,177.9263916015625,110.20256805419922
2019-07-11,2001.0699462890625,136.71763610839844,238.6000061035156,1144.2099609375,199.0117950439453,201.22999572753903,136.29116821289062,179.3453369140625,110.81291961669922
2019-07-12,2011.0,137.21156311035156,245.0800018310547,1144.9000244140625,200.540771484375,204.8699951171875,130.6395263671875,178.93850708007812,111.40390014648438
2019-07-15,2020.989990234375,137.21156311035156,253.5,1150.3399658203125,202.4248352050781,203.91000366210938,131.03834533691406,179.1766815185547,111.87862396240234
2019-07-16,2009.9000244140625,135.41368103027344,252.3800048828125,1153.5799560546875,201.72447204589844,203.83999633789062,128.88858032226562,177.9263916015625,112.2758331298828
2019-07-17,1992.030029296875,134.61354064941406,254.8600006103516,1146.3499755859375,200.59007263183597,201.8000030517578,128.26603698730472,177.7676239013672,112.3242645263672
2019-07-18,1977.9000244140625,134.76171875,253.5399932861328,1146.3299560546875,202.8687286376953,200.77999877929688,128.47030639648438,179.13694763183594,112.56404876708984
2019-07-19,1964.52001953125,134.95927429199222,258.17999267578125,1130.0999755859375,199.8403778076172,198.3600006103516,126.7582778930664,177.85693359375,112.14476013183594
2019-07-22,1985.6300048828125,136.74726867675778,255.67999267578125,1138.0699462890625,204.40756225585938,202.32000732421875,125.1337890625,179.1766815185547,112.4275360107422
2019-07-23,1994.489990234375,137.59681701660156,260.17001342773443,1146.2099609375,206.00555419921875,202.3600006103516,125.32833099365234,179.5041046142578,111.0136489868164
2019-07-24,2000.81005859375,139.00944519042972,264.8800048828125,1137.81005859375,205.837890625,204.66000366210938,126.24270629882812,181.9153594970703,109.7947998046875
2019-07-25,1973.8199462890625,138.48588562011722,228.82000732421875,1132.1199951171875,204.2102813720703,200.7100067138672,127.5461883544922,180.18878173828125,109.96055603027344
2019-07-26,1943.050048828125,139.62190246582028,228.0399932861328,1250.4100341796875,204.9205017089844,199.75,127.16682434082031,182.2725982666016,111.87174224853516
2019-07-29,1912.449951171875,139.315673828125,235.7700042724609,1239.4100341796875,206.8341522216797,195.94000244140625,129.3944091796875,181.79627990722656,113.11009216308594
2019-07-30,1898.530029296875,138.64393615722656,242.25999450683597,1225.1400146484375,205.9463653564453,197.0399932861328,128.48002624511722,180.12924194335938,117.41023254394531
2019-07-31,1866.780029296875,134.61354064941406,241.6100006103516,1216.6800537109375,210.1485595703125,194.22999572753903,126.67073059082031,176.62648010253906,115.0992660522461
2019-08-01,1855.3199462890625,136.38175964355472,233.8500061035156,1209.010009765625,205.6011199951172,192.72999572753903,126.7388153076172,177.78746032714844,113.82190704345705
2019-08-02,1823.239990234375,135.23585510253906,234.33999633789062,1193.989990234375,201.25099182128903,189.0200042724609,127.49755859375,176.05096435546875,113.53913879394531
2019-08-05,1765.1300048828125,130.60289001464844,228.32000732421875,1152.3199462890625,190.71592712402344,181.72999572753903,126.61236572265624,167.5570068359375,110.26284790039062
2019-08-06,1787.8299560546875,133.05274963378906,230.75,1169.949951171875,194.3262481689453,184.50999450683597,127.20574188232422,171.14906311035156,111.43294525146484
2019-08-07,1793.4000244140625,133.63554382324222,233.4199981689453,1173.989990234375,196.33856201171875,185.1499938964844,126.6610107421875,173.9671630859375,112.6420440673828
2019-08-08,1832.8900146484373,137.20169067382812,238.3000030517578,1204.800048828125,200.6689910888672,190.16000366210938,128.09091186523438,178.51182556152344,114.51422119140624
2019-08-09,1807.5799560546875,136.03604125976562,235.00999450683597,1188.010009765625,199.0153961181641,187.8500061035156,128.44111633300778,177.66836547851562,113.87065887451172
2019-08-12,1784.9200439453125,134.13935852050778,229.00999450683597,1174.7099609375,198.51040649414062,185.3699951171875,128.3341064453125,174.97930908203125,113.13934326171876
2019-08-13,1824.3399658203125,136.91522216796878,235.0,1197.27001953125,206.91700744628903,188.4499969482422,129.78349304199222,177.23178100585938,114.32894897460938
2019-08-14,1762.9599609375,132.79208374023438,219.6199951171875,1164.2900390625,200.7581024169922,179.7100067138672,126.7096176147461,172.17112731933594,112.90532684326172
2019-08-15,1776.1199951171875,132.4947509765625,215.63999938964844,1167.260009765625,199.75802612304688,182.58999633789062,126.98199462890624,175.1622314453125,114.46546173095705
2019-08-16,1792.5699462890625,134.92304992675778,219.94000244140625,1177.5999755859375,204.47125244140625,183.6999969482422,127.77964782714844,177.1099090576172,116.21086883544922
2019-08-19,1816.1199951171875,137.18283081054688,226.8300018310547,1198.449951171875,208.283447265625,186.1699981689453,128.6453857421875,178.61041259765625,117.24446105957031
2019-08-20,1801.3800048828125,136.04301452636722,225.8600006103516,1182.68994140625,208.29335021972656,183.80999755859372,127.04037475585938,178.11355590820312,115.9378433227539
2019-08-21,1823.5400390625,137.55943298339844,220.8300018310547,1191.25,210.5509490966797,183.5500030517578,127.94501495361328,179.8028564453125,116.2303695678711
2019-08-22,1804.6600341796875,136.55839538574222,222.1499938964844,1189.530029296875,210.3727264404297,182.0399932861328,127.69210052490234,178.9582061767578,116.44489288330078
2019-08-23,1749.6199951171875,132.20732116699222,211.3999938964844,1151.2900390625,200.64920043945312,177.75,124.24859619140624,174.1287384033203,114.39720153808594
2019-08-26,1768.8699951171875,134.24906921386722,215.0,1168.8900146484375,204.4613494873047,180.3600006103516,125.24823760986328,176.4739227294922,116.34737396240234
2019-08-27,1761.8299560546875,134.53648376464844,214.0800018310547,1167.8399658203125,202.1542510986328,181.3000030517578,127.05148315429688,177.25894165039062,117.54674530029295
2019-08-28,1764.25,134.35807800292972,215.58999633789062,1171.02001953125,203.51080322265625,181.75999450683597,126.11064910888672,177.54713439941406,118.37556457519531
2019-08-29,1786.4000244140625,136.8953857421875,221.7100067138672,1192.8499755859375,206.95660400390625,185.57000732421875,125.67945098876952,180.03143310546875,118.16104888916016
2019-08-30,1776.2900390625,136.63771057128906,225.6100006103516,1188.0999755859375,206.6892547607422,185.6699981689453,125.79705047607422,179.68362426757812,117.23471069335938
2019-09-03,1789.8399658203125,134.83383178710938,225.00999450683597,1168.3900146484375,203.6791076660156,182.38999938964844,126.16946411132812,178.0738067626953,118.33655548095705
2019-09-04,1800.6199951171875,136.40974426269528,220.67999267578125,1181.4100341796875,207.1348571777344,187.13999938964844,126.2870635986328,180.62765502929688,120.14047241210938
2019-09-05,1840.719970703125,138.80827331542972,229.5800018310547,1211.3800048828125,211.1846466064453,190.8999938964844,126.01265716552734,183.5690460205078,119.7016830444336
2019-09-06,1833.510009765625,137.86669921875,227.4499969482422,1204.9300537109375,211.1648406982422,187.4900054931641,125.65005493164062,184.5727081298828,119.80894470214844
2019-09-09,1831.3499755859373,136.30072021484378,231.7899932861328,1204.4100341796875,212.06591796875,188.75999450683597,124.41519165039062,180.40904235839844,119.12638092041016
2019-09-10,1820.550048828125,134.87348937988278,235.5399932861328,1206.0,214.571044921875,186.1699981689453,126.96328735351562,175.24172973632812,116.89342498779295
2019-09-11,1822.989990234375,134.91310119628906,247.1000061035156,1220.1700439453125,221.39337158203125,188.4900054931641,128.55093383789062,173.8803253173828,118.2488021850586
2019-09-12,1843.550048828125,136.30072021484378,245.8699951171875,1234.25,220.8982696533203,187.47000122070312,127.82569885253906,176.86146545410156,119.71143341064452
2019-09-13,1839.3399658203125,136.10247802734378,245.1999969482422,1239.56005859375,216.60092163085938,187.19000244140625,128.16873168945312,176.1559295654297,119.07762908935548
2019-09-16,1807.8399658203125,135.12126159667972,242.80999755859372,1231.300048828125,217.73960876464844,186.22000122070312,126.95347595214844,175.0032196044922,116.76667022705078
2019-09-17,1822.550048828125,136.171875,244.7899932861328,1229.1500244140625,218.5317687988281,188.0800018310547,127.08088684082031,175.34109497070312,118.14154815673828
2019-09-18,1817.4599609375,137.29183959960938,243.4900054931641,1232.4100341796875,220.58143615722656,188.13999938964844,127.80612182617188,174.1883544921875,118.38531494140624
2019-09-19,1821.5,139.81924438476562,246.6000061035156,1238.7099609375,218.78921508789062,190.13999938964844,127.5121078491211,174.85415649414062,118.86310577392578
2019-09-20,1794.1600341796875,138.20368957519528,240.6199951171875,1229.9300537109375,215.5909118652344,189.92999267578125,129.0213623046875,172.9661102294922,119.19463348388672
2019-09-23,1785.300048828125,137.90634155273438,241.22999572753903,1234.030029296875,216.5712127685547,186.82000732421875,129.10955810546878,173.81076049804688,120.15022277832031
2019-09-24,1741.6099853515625,136.16195678710938,223.2100067138672,1218.760009765625,215.5414123535156,181.27999877929688,128.92335510253906,173.3834686279297,120.53050231933594
2019-09-25,1768.3299560546875,138.1243896484375,228.6999969482422,1246.52001953125,218.85850524902344,182.8000030517578,128.37454223632812,174.17843627929688,119.9552001953125
2019-09-26,1739.8399658203125,138.30279541015622,242.55999755859372,1241.3900146484375,217.72972106933597,180.11000061035156,126.27728271484376,174.5460968017578,121.21305847167969
2019-09-27,1725.449951171875,136.50883483886722,242.1300048828125,1225.0899658203125,216.6702423095703,177.10000610351562,126.03226470947266,172.90647888183594,121.46658325195312
2019-09-30,1735.9100341796875,137.79731750488278,240.8699951171875,1219.0,221.7696228027344,178.0800018310547,126.79668426513672,170.92897033691406,121.28131866455078
2019-10-01,1735.6500244140625,135.85470581054688,244.69000244140625,1205.0999755859375,222.383544921875,175.80999755859375,127.3945083618164,173.1946563720703,120.7645263671875
2019-10-02,1713.22998046875,133.45614624023438,243.1300048828125,1176.6300048828125,216.8088531494141,174.60000610351562,129.36436462402344,168.7626953125,118.06353759765624
2019-10-03,1724.4200439453125,135.07170104980472,233.02999877929688,1187.8299560546875,218.65057373046875,179.3800048828125,128.57054138183594,171.7835693359375,118.70708465576172
2019-10-04,1739.6500244140625,136.8953857421875,231.42999267578125,1209.0,224.7797698974609,180.4499969482422,130.99122619628906,174.8740234375,120.91079711914062
2019-10-07,1732.6600341796875,135.90425109863278,237.72000122070312,1207.6800537109375,224.8292694091797,179.67999267578125,130.50120544433594,173.8008270263672,119.7796859741211
2019-10-08,1705.510009765625,134.46711730957028,240.0500030517578,1189.1300048828125,222.1954040527344,177.75,129.20756530761722,171.33639526367188,117.91727447509766
2019-10-09,1721.989990234375,137.01432800292972,244.52999877929688,1202.31005859375,224.7995758056641,179.85000610351562,126.63987731933594,173.7809600830078,118.94112396240234
2019-10-10,1720.260009765625,137.86669921875,244.7400054931641,1208.6700439453125,227.8294982910156,180.02999877929688,126.48307037353516,173.7809600830078,118.90211486816406
2019-10-11,1731.9200439453125,138.44154357910156,247.88999938964844,1215.449951171875,233.88937377929688,184.19000244140625,128.70774841308594,175.94723510742188,118.0732879638672
2019-10-14,1736.4300537109375,138.31271362304688,256.95999145507807,1217.1400146484375,233.5527191162109,183.27999877929688,128.10992431640622,176.24537658691406,117.05918884277344
2019-10-15,1767.3800048828125,140.31480407714844,257.8900146484375,1243.010009765625,233.0081329345703,188.88999938964844,130.18760681152344,177.6266326904297,114.28019714355469
2019-10-16,1777.4300537109375,139.16508483886722,259.75,1243.6400146484375,232.06744384765625,189.5500030517578,132.4710693359375,176.7521514892578,114.60198211669922
